Column1;obj_ID;alpha;delta;u;g;r;i;z;run_ID;rerun_ID;cam_col;field_ID;spec_obj_ID;class;redshift;plate;MJD;fiber_ID;Distancia entre media con GALAXY;Column1;obj_ID;alpha;delta;u;g;r;i;z;run_ID;rerun_ID;cam_col;field_ID;spec_obj_ID;class;redshift;plate;MJD;fiber_ID
0;1,23766E+32;1,86564E+14;5,87214E+14;2614481;2456541;2097581;1958867;1923176;2826;301;6;300;7,84536E+32;GALAXY;6822903;6968;56443;323;;0;6,66667E+26;4,03478E+13;3,30132E+14;5,87214E+14;5,87214E+14;653306,6667;1318043,333;620555,6667;2452211,333;2097280;2097576,333;1958449,333;4,58774E+32;GALAXY;5068426;1248,666667;52310,66667;43
1;1,23767E+32;5,42846E+13;7,70418E+14;2323521;2204661;2021183;192951;1869015;4849;301;5;817;2,97134E+32;GALAXY;4948072;2639;54465;337;;1;3,33333E+26;9,19316E+13;2,53722E+14;39579,33333;590641,3333;60008,66667;1103486,667;33029,66667;519,3333333;0;0,333333333;399,3333333;1,6164E+32;GALAXY;2043530;1435,666667;671,6666667;79
2;1,23767E+32;1,978E+14;1,92456E+14;1913823;180857;1764759;1737495;1715765;5314;301;3;136;2,94651E+32;GALAXY;9203831;2617;54502;114;;2;3,33333E+26;5,15838E+13;3,2424E+14;370118,6667;1433162,667;196415,3333;441057,3333;120220,3333;984,3333333;0;1,666666667;281,6666667;1,64123E+32;GALAXY;2212229;1457,666667;634,6666667;144
3;1,23766E+31;3,5369E+14;6,32674E+14;2013128;1892085;1848558;1827021;1814316;4188;301;5;68;4,74251E+32;STAR;-7793586;4212;55447;802;;3;1,1139E+32;2,07474E+14;1,15978E+14;270813,6667;278065,3333;112616,3333;530583,3333;21669,33333;141,6666667;0;0,333333333;349,6666667;1,54773E+31;STAR;14785188;137,3333333;310,3333333;544
4;1,23766E+32;3,56735E+14;-8,40064E+14;1773818;1691551;1662435;1652587;1651668;4263;301;2;94;9,87077E+32;STAR;-3497355;8767;57310;6;;4;6,66667E+26;2,10519E+14;1,35676E+15;510123,6667;77531,33333;298739,3333;356149,3333;184317,3333;66,66666667;0;2,666666667;323,6666667;5,28303E+32;STAR;10488957;4692,333333;2173,333333;252
5;1,23768E+32;8,8136E+14;2,81903E+14;2220962;2024953;1870976;1727218;1645631;7712;301;4;388;8,84419E+32;STAR;78,25889;7855;57011;908;;5;1,33333E+27;7,35144E+14;2,34793E+14;62979,66667;410933,3333;90198,33333;430780,3333;190354,3333;3382,333333;0;0,666666667;29,66666667;4,25645E+32;STAR;6991523,741;3780,333333;1874,333333;650
6;1,23765E+32;1,20203E+14;4,11671E+14;2283221;2174318;2119896;2083009;205248;2076;301;6;113;4,14333E+31;STAR;32,99982;3680;55210;74;;6;1,66667E+27;2,60132E+13;1,05025E+14;720,6666667;560298,3333;158721,6667;786571,3333;1630737,333;2253,666667;0;1,333333333;304,6666667;4,1734E+32;STAR;6991569;394,6666667;73,33333333;184
7;1,23766E+32;1,91727E+14;4,19108E+14;2162058;210798;206557;2042108;2003778;3840;301;3;208;9,44194E+32;QSO;8466634;8386;57518;511;;7;6,66667E+26;4,55108E+13;9,7588E+13;121883,6667;1403221,667;1754617,333;745670,3333;167792,6667;489,6666667;0;1,666666667;209,6666667;4,8542E+32;QSO;1475032;4311,333333;2381,333333;253
8;1,23766E+31;1,9041E+14;4,62881E+13;1978255;1861807;1851826;1851242;1830961;3698;301;1;194;7,47051E+32;QSO;2766249;6635;56370;602;;8;1,1139E+32;4,41938E+13;4,70408E+14;305686,6667;247787,3333;109348,3333;554804,3333;5024,333333;631,6666667;0;3,666666667;223,6666667;2,88277E+32;QSO;4225353;2560,333333;1233,333333;344
9;1,23767E+32;1,29339E+14;1,42491E+13;2334927;2156899;2167272;2174917;2159274;5194;301;6;108;5,06663E+32;QSO;2263579;4500;55543;304;;9;3,33333E+26;1,68772E+13;5,02447E+14;50985,33333;542879,3333;206097,6667;878479,3333;323288,6667;864,3333333;0;1,333333333;309,6666667;4,78893E+31;QSO;4728023;425,3333333;406,3333333;46
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVERAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Column1;obj_ID;alpha;delta;u;g;r;i;z;run_ID;rerun_ID;cam_col;field_ID;spec_obj_ID;class;redshift;plate;MJD;fiber_ID;Distancia entre media con STAR;Column1;obj_ID;alpha;delta;u;g;r;i;z;run_ID;rerun_ID;cam_col;field_ID;spec_obj_ID;class;redshift;plate;MJD;fiber_ID
;1,23767E+32;1,46216E+14;5,16696E+14;2283941,667;1614019,667;1961174,333;1296437,667;1835985,333;4329,666667;301;4,666666667;417,6666667;4,58774E+32;GALAXY;6991602;4074,666667;55136,66667;258;;0;2,78471E+31;2,41433E+14;4,65668E+14;541698,75;510814,25;222114,75;136408,25;593960,25;1733,75;0;1,75;134,25;1,87741E+32;GALAXY;9645610,435;839,5;198,5;124,5
;9,59189E+31;4,27997E+14;1,21546E+14;2072782,25;1945726,75;1875466,25;1822458,75;1329215,75;4559,75;301;4,25;165,75;5,96795E+32;STAR;-2822707,435;6128,5;56244,5;447,5;;1;2,78481E+31;3,73712E+14;6,48872E+14;250738,75;258934,25;145716,75;1629507,75;539799,25;289,25;0;0,75;651,25;2,99661E+32;GALAXY;7770779,435;3489,5;1779,5;110,5
;8,66365E+31;1,70492E+14;1,59882E+14;2158413,333;1409834,667;1408551,667;2022755,667;1998004,333;4244;301;3,333333333;170;7,32636E+32;QSO;4498820,667;6507;56477;472,3333333;;2;2,78481E+31;2,30197E+14;7,091E+13;158959,25;1764869,75;110707,25;84963,75;386549,25;754,25;0;1,25;29,75;3,02144E+32;GALAXY;12026538,44;3511,5;1742,5;333,5
;;;;;;;;;;;;;;;;;;;;3;8,35423E+31;7,4307E+13;5,11128E+14;59654,25;53641,75;26908,25;4562,25;485100,25;371,75;0;0,75;97,75;1,22544E+32;STAR;4970878,565;1916,5;797,5;354,5
;;;;;;;;;;;;;;;;;;;;4;2,78471E+31;7,1262E+13;9,6161E+14;298964,25;254175,75;213031,25;169871,75;322452,25;296,75;0;2,25;71,75;3,90282E+32;STAR;674647,5647;2638,5;1065,5;441,5
;;;;;;;;;;;;;;;;;;;;5;2,78491E+31;4,53363E+14;1,60357E+14;148179,75;79226,25;4490,25;95240,75;316415,25;3152,25;0;0,25;222,25;2,87624E+32;STAR;2822785,694;1726,5;766,5;460,5
;;;;;;;;;;;;;;;;;;;;6;2,78461E+31;3,07794E+14;2,90125E+14;210438,75;228591,25;244429,75;260550,25;1123967,75;2483,75;0;1,75;52,75;5,55362E+32;STAR;2822740,435;2448,5;1034,5;373,5
Column1;obj_ID;alpha;delta;u;g;r;i;z;run_ID;rerun_ID;cam_col;field_ID;spec_obj_ID;class;redshift;plate;MJD;fiber_ID;;7;2,78471E+31;2,3627E+14;2,97562E+14;89275,75;1734928,75;1668909,25;219649,25;674562,25;719,75;0;1,25;42,25;3,47399E+32;QSO;11289341,44;2257,5;1273,5;63,5
0;;;;;;;;;;;;;;;;;;;;8;8,35423E+31;2,37587E+14;7,52579E+13;94527,25;83919,75;23640,25;28783,25;501745,25;861,75;0;3,25;28,25;1,50256E+32;QSO;5588956,435;506,5;125,5;154,5
1;;;;;;;;;;;;;;;;;;;;9;2,78481E+31;2,98658E+14;1,07297E+14;262144,75;211172,25;291805,75;352458,25;830058,25;634,25;0;1,75;57,75;9,01321E+31;QSO;5086286,435;1628,5;701,5;143,5
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;Distancia entre media con QSO;Column1;obj_ID;alpha;delta;u;g;r;i;z;run_ID;rerun_ID;cam_col;field_ID;spec_obj_ID;class;redshift;plate;MJD;fiber_ID
5;;;;;;;;;;;;;;;;;;;;0;3,71295E+31;1,6072E+13;4,27332E+14;456067,6667;1046706,333;689029,3333;63888,66667;74828,33333;1418;0;2,666666667;130;5,19E+31;GALAXY;2324082,333;461;34;149,3333333
6;;;;;;;;;;;;;;;;;;;;1;3,71305E+31;1,16207E+14;6,10536E+14;165107,6667;794826,3333;612631,3333;1829804,667;128989,3333;605;0;1,666666667;647;4,35502E+32;GALAXY;449251,3333;3868;2012;135,3333333
7;;;;;;;;;;;;;;;;;;;;2;3,71305E+31;2,7308E+13;3,25743E+13;244590,3333;1228977,667;356207,3333;285260,6667;282239,3333;1070;0;0,333333333;34;4,37985E+32;GALAXY;4705010,333;3890;1975;358,3333333
8;;;;;;;;;;;;;;;;;;;;3;7,42599E+31;1,83198E+14;4,72792E+14;145285,3333;482250,3333;440006,3333;195734,6667;183688,3333;56;0;1,666666667;102;2,58385E+32;STAR;12292406,67;2295;1030;329,6666667
9;;;;;;;;;;;;;;;;;;;;4;3,71295E+31;1,86243E+14;9,99946E+14;384595,3333;281716,3333;253883,3333;370168,6667;346336,3333;19;0;1,333333333;76;2,54441E+32;STAR;7996175,667;2260;833;466,3333333
;;;;;;;;;;;;;;;;;;;;5;3,71315E+31;7,10868E+14;1,22021E+14;62548,66667;615118,3333;462424,3333;295537,6667;352373,3333;3468;0;0,666666667;218;1,51783E+32;STAR;4498742,408;1348;534;435,6666667
;;;;;;;;;;;;;;;;;;;;6;3,71285E+31;5,0289E+13;2,51789E+14;124807,6667;764483,3333;711344,3333;60253,33333;1792756,333;2168;0;2,666666667;57;6,91203E+32;STAR;4498787,667;2827;1267;398,3333333
;;;;;;;;;;;;;;;;;;;;7;3,71295E+31;2,1235E+13;2,59226E+14;3644,666667;1199036,667;1201994,667;19352,33333;5773,666667;404;0;0,333333333;38;2,11558E+32;QSO;3967813,333;1879;1041;38,66666667
;;;;;;;;;;;;;;;;;;;;8;7,42599E+31;1,9918E+13;1,13594E+14;180158,3333;451972,3333;443274,3333;171513,6667;167043,3333;546;0;2,333333333;24;1,4415E+31;QSO;1732571,667;128;107;129,6666667
;;;;;;;;;;;;;;;;;;;;9;3,71305E+31;4,1153E+13;1,45633E+14;176513,6667;747064,3333;758720,3333;152161,3333;161269,6667;950;0;2,666666667;62;2,25973E+32;QSO;2235241,667;2007;934;168,3333333
